SID,GID,MOT,SCORE,MOT_CAT,SCORE_CAT,PUD,PUD_CAT,FREQ,DUR,TTAll,TTAC,TTAW,TTHard,TTEasy,TTMedium
mis-301614,0,0.88,0.75,1,1,,,,,1210.62,763.816,446.80,498.122,393.85,318.65
mis-302515,1,0.73,0.75,1,1,0.7,1,12,820.98,1541.92,817.72,724.20,923.87,307.88,310.17
mis-304009,1,0.48,0.5,0,2,0.23,0,10,354.19,1221.45,823.04,398.41,637.34,105.11,479.00
mis-315185,0,0.46,0.38,0,2,,,,,1100.72,518.529,582.19,368.788,225.04,506.89
mis-334315,1,0.73,0.63,1,1,0.62,1,10,613.44,1215.22,896.65,318.57,336.19,463.96,415.07
mis-342115,1,0.54,0.88,1,1,0.62,0,12,898.7,1150.97,993.30,157.67,766.43,181.88,202.66
mis-349125,1,0.93,0.63,1,1,0.92,1,11,582.8,1780.25,1062.37,717.88,892.41,302.99,584.85
mis-352814,0,0.33,0.38,0,2,,,,,1297.61,655.611,642.00,424.906,283.14,589.57
mis-366515,0,0.68,0.63,1,1,,,,,1509.92,808.281,701.64,641.856,238.55,629.52
mis-368015,0,0.88,0.88,1,1,,,,,1587.91,1164.215,423.69,936.805,282.72,368.38
mis-371154,1,0.68,0.5,1,2,0.46,0,14,456.59,1364.47,642.79,721.68,918.57,62.98,382.92
mis-374815,0,0.48,0.5,0,2,,,,,1694.71,943.466,751.24,793.559,376.28,524.87
mis-378315,0,0.73,0.5,1,2,,,,,1019.92,587.828,432.09,386.742,163.99,469.19
mis-379315,0,0.4,0.5,0,2,,,,,1462.38,629.800,832.58,714.306,374.69,373.38
mis-383515,0,0.73,0.38,1,2,,,,,1648.62,703.084,945.54,283.006,593.30,772.32
mis-383714,0,0.49,0.38,0,2,,,,,1057.45,683.479,373.97,409.729,257.87,389.85
mis-385915,0,0.33,0.13,0,3,,,,,1129.40,510.988,618.41,690.94,155.12,283.34
mis-395515,1,0.33,0.38,0,2,0.62,0,7,226.9,2392.48,1008.22,1384.26,1256.63,400.39,735.46
mis-396615,0,0.88,0.75,1,1,,,,,1781.55,1498.259,283.29,871.601,396.78,513.17
mis-416203,1,0.73,0.5,1,2,0.62,1,15,454.51,1032.84,603.65,429.19,488.38,120.19,424.27
mis-509313,1,0.33,0.5,0,2,0.7,0,9,659.5,922.76,587.74,335.02,358.74,124.20,439.82
mis-511213,1,0.54,0.25,1,3,0.39,0,6,225.54,435.30,111.26,324.04,229.86,106.29,99.15
mis-516027,1,0.33,0.13,0,3,0.39,0,5,194.14,943.91,382.43,561.48,546.82,119.20,277.89
mis-516033,1,0.6,0.38,1,2,0.46,0,12,437.9,1465.61,574.58,891.03,796.18,163.19,506.24
mis-516194,1,0.68,0.13,1,3,0.62,0,5,212.51,1057.49,510.59,546.90,536.57,190.13,330.79
mis-516200,1,0.26,0.13,0,3,0.7,0,5,194.14,1460.27,360.32,1099.95,848.7,297.29,314.28
mis-516206,1,0.6,0.38,1,2,0.46,0,9,315.07,1315.88,626.24,689.64,917.61,171.28,226.99
mis-519214,1,0.2,0.5,0,2,0.16,0,8,346.71,1078.56,586.87,491.69,531.11,233.52,313.94
mis-521514,1,0.33,0.13,0,3,0.7,0,7,192,1516.68,435.69,1080.99,1016.13,231.88,268.67
mis-527115,1,0.2,0.38,0,2,0.16,0,6,313.55,1108.82,446.00,662.82,618.04,265.01,225.77
mis-534714,1,0.2,0.5,0,2,0.16,0,9,474.85,1063.73,917.59,146.14,837.08,116.22,110.44
mis-611315,0,0.88,0.75,1,1,,,,,1795.38,1160.832,634.54,813.08,385.66,596.63
mis-616255,0,0.49,0.75,0,1,,,,,1862.20,1370.137,492.06,813.739,472.23,576.23
mis-621615,0,0.49,0.88,0,1,,,,,1183.39,821.271,362.12,444.897,420.75,317.75
mis-624511,0,0.88,0.75,1,1,,,,,1365.08,785.601,579.48,611.91,222.73,530.44
mis-716233,0,0.46,0.5,0,2,,,,,841.92,522.982,318.94,317.489,177.59,346.84
mis-732015,0,0.46,0.5,0,2,,,,,1709.33,921.953,787.37,770.892,398.98,539.45
mis-735514,0,0.46,0.5,0,2,,,,,1486.78,704.674,782.11,670.347,350.31,466.13
mis-800109,0,0.33,0.25,0,3,,,,,943.91,382.429,561.48,242.805,343.86,357.24
mis-810414,0,0.33,0.25,0,3,,,,,435.30,111.261,324.04,163.798,200.65,70.85
mis-810810,0,0.33,0.25,0,3,,,,,1610.53,585.444,1025.09,642.423,543.43,424.68
mis-816006,0,0.73,0.38,1,2,,,,,1003.71,481.394,522.32,375.608,164.72,463.38
mis-816100,0,0.68,0.38,1,2,,,,,785.54,389.986,395.55,337.739,203.49,244.31
mis-816109,0,0.33,0.25,0,3,,,,,919.72,254.682,665.04,442.902,166.91,309.91
mis-816254,0,0.33,0.25,0,3,,,,,1222.18,579.047,643.13,521.465,295.88,404.83
mis-816514,0,0.33,0.25,0,3,,,,,817.85,271.906,545.95,394.115,59.31,364.43
mis-829314,0,0.4,0.25,0,3,,,,,1026.12,440.612,585.51,266.06,427.57,332.50
mis-916023,0,0.33,0.13,0,3,,,,,1422.55,529.132,893.41,695.501,547.74,179.31
mis-923711,0,0.33,0.13,0,3,,,,,1327.19,502.471,824.72,830.192,319.15,177.85
